gene,Mutation (%),Amplification (%),Deep deletion (%),Any alteration (%)
STIM1,3.7735849056603774,6.738544474393531,2.15633423180593,12.129380053908356
STIM2,2.964959568733154,2.15633423180593,2.4258760107816713,7.008086253369273
ORAI1,1.8867924528301887,3.7735849056603774,2.6954177897574128,8.086253369272237
ORAI2,1.8867924528301887,2.964959568733154,3.7735849056603774,8.62533692722372
TRPC1,2.964959568733154,4.31266846361186,2.15633423180593,9.433962264150944
TRPC6,4.8517520215633425,8.89487870619946,2.6954177897574128,15.633423180592992
TRPC3,2.964959568733154,2.15633423180593,2.4258760107816713,7.277628032345014
TRPC4,1.8867924528301887,0.8086253369272237,2.15633423180593,4.5822102425876015
