,stromal_score,immune_score,estimate_score,tumor_purity,true_purity
TCGA-LIHC-0072,0.06861236618807488,0.10465359598238155,0.17326596217045642,0.8224949111251636,0.6475644178510022
TCGA-LIHC-0073,-0.3296889282478931,-0.02270962577605844,-0.35239855402395154,0.8225387959868639,0.8579377243901719
TCGA-LIHC-0074,-0.31532468460173524,0.008014907907619542,-0.3073097766941157,0.8225350319629251,0.8690341933565224
TCGA-LIHC-0075,0.44877201035914477,0.5981153034064414,1.046887313765586,0.8224219664141471,0.5290214802414378
TCGA-LIHC-0076,0.22305667209022734,0.16021343011785022,0.38327010220807756,0.822477377656593,0.6511457822536105
TCGA-LIHC-0077,0.01941871526334786,-0.17373975373092307,-0.15432103846757522,0.8225222601510676,0.5883764744759382
TCGA-LIHC-0078,-0.3914544654738019,-0.07305908718978545,-0.46451355266358735,0.8225481552226114,0.9080403979367927
TCGA-LIHC-0079,-0.4259882045031345,-0.3125910619798951,-0.7385792664830296,0.8225710329865412,0.956318374061485
TCGA-LIHC-0080,-0.8745302511583221,-0.41119664753468893,-1.285726898693011,0.8226167024097065,0.9535437444155195
TCGA-LIHC-0081,0.46197789592335303,0.06704709549244624,0.5290249914157993,0.8224652079667043,0.5495346679529837
TCGA-LIHC-0082,-0.25750014422231454,-0.22234677941583447,-0.479846923638149,0.8225494352180976,0.7983691564575395
TCGA-LIHC-0083,-0.5788144765121117,-0.16966691445769919,-0.7484813909698109,0.822571859546106,0.9448830813391883
TCGA-LIHC-0084,0.22367032386613053,0.2140005697362466,0.4376708936023771,0.8224728355493188,0.6304796353037824
TCGA-LIHC-0085,-0.2542951627330537,-0.35129462584163135,-0.605589788574685,0.8225599317937954,0.843275044756087
TCGA-LIHC-0086,0.46823237683596675,0.20338619251150797,0.6716185693474748,0.8224533018636905,0.5370792482408929
TCGA-LIHC-0087,0.11041855758789512,0.03720057251035745,0.14761913009825256,0.8224970523528441,0.7668327836692785
TCGA-LIHC-0088,-0.2726779177577345,-0.24093350450160067,-0.5136114222593351,0.8225522537881725,0.747948435107594
TCGA-LIHC-0089,-0.1873182876689676,-0.2122818721263224,-0.39960015979529,0.8225427363517177,0.7171556609456584
TCGA-LIHC-0090,-0.30877008816712775,-0.4804417789982446,-0.7892118671653723,0.8225752594209259,0.8074626164270294
TCGA-LIHC-0091,0.1243571600155647,0.09186548911735153,0.21622264913291622,0.8224913246893556,0.6936605565081185
TCGA-LIHC-0092,-0.19635217617115616,-0.4105824057194811,-0.6069345818906373,0.8225600440509354,0.8269202468678515
TCGA-LIHC-0093,-0.5217614975134053,-0.39835571753767535,-0.9201172150510806,0.8225861862189344,0.7822093173965847
TCGA-LIHC-0094,0.8547912766521799,0.8997001354354547,1.7544914120876345,0.8223628737223629,0.3382469519769455
TCGA-LIHC-0095,0.08076796505616936,0.30904514495699603,0.3898131100131654,0.8224768313613711,0.7241010434605898
TCGA-LIHC-0096,-0.44926389366561237,-0.2201121639645976,-0.6693760576302099,0.8225652563418782,0.8599112545626415
TCGA-LIHC-0097,-0.4071633263498503,0.03701911712518511,-0.3701442092246652,0.8225402773893196,0.827247667159291
TCGA-LIHC-0098,-0.2641745127251401,-0.217388327203484,-0.4815628399286241,0.8225495784586895,0.8438067295593595
TCGA-LIHC-0099,-0.2737696907153005,0.0037329277455602885,-0.2700367629697402,0.8225319203739485,0.8266101239301327
TCGA-LIHC-0100,-0.07750233886455195,0.3411928265267369,0.26369048766218495,0.8224873615813582,0.652188831266775
TCGA-LIHC-0101,-0.5312786549029628,-0.2058177543191348,-0.7370964092220975,0.8225709092079183,0.8355971003171622
TCGA-LIHC-0102,-0.12283121918620331,-0.11284097639265347,-0.23567219557885677,0.8225290515632057,0.6999772037787169
TCGA-LIHC-0103,-0.4125127283947689,0.18770440849475883,-0.22480831990001005,0.8225281446245984,0.8218593977787356
TCGA-LIHC-0104,-0.18960117151039124,0.10075780650903608,-0.08884336500135516,0.8225167938145983,0.7778882543257616
