molecule_chembl_id,known_name,pref_name,synonyms,molecule_type,max_phase,best_IC50_nM,best_IC50_units,best_EC50_nM,best_inhibition_pct,best_pchembl_value,action_type_clean,standard_types,targets,target_names,num_activities,document_years,mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_logp,cx_logd,canonical_smiles
CHEMBL5542519,,,,,,,,,77.6,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,355.46,3.44,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2cccc3ccccc23)n1
CHEMBL5549879,,,,,,,,,30.5,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,305.40,2.29,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccccc2)n1
CHEMBL5549995,,,,,,,,,28.3,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,350.40,2.19,8,1,111.59,8,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc([N+](=O)[O-])cc2)n1
CHEMBL5550072,,,,,,,,,0.8,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,434.54,2.27,7,2,114.62,9,0,,,CCOC(=O)c1csc(N(CCNS(N)(=O)=O)Cc2ccc3ccccc3c2)n1
CHEMBL5555762,,,,,,,,,97.9,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,355.46,3.44,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2ccc3ccccc3c2)n1
CHEMBL5556441,,,,,,,,,44.2,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,387.38,2.94,6,1,85.52,6,0,,,CCOC(=O)c1csc(N(CCN)C(=O)c2ccc(C(F)(F)F)cc2)n1
CHEMBL5556715,,,,,,,,,18.7,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,487.50,4.51,7,1,97.83,7,0,,,CCOC(=O)c1csc(N(CCNC(=O)OC(C)(C)C)C(=O)c2ccc(C(F)(F)F)cc2)n1
CHEMBL5557946,,,,,,,,,18.5,,,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,410.43,3.10,6,3,99.93,7,0,,,NCCN(Cc1cccc(C(F)(F)F)c1)c1nc(C(=O)Nc2ncc[nH]2)cs1
CHEMBL5558752,,,,,,,,,40.9,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,371.41,2.89,7,1,77.68,9,0,,,CCOC(=O)c1csc(N(CCN)Cc2cccc(OC(F)F)c2)n1
CHEMBL5558767,,,,,,,,,59.5,,ANTAGONIST,Inhibition,CHEMBL1795081,Short transient receptor potential channel 6,1,2024.0,402.29,3.19,6,1,68.45,7,0,,,CCOC(=O)c1csc(N(CCN)Cc2cc(F)ccc2Br)n1
