,risk_score,group,STIM1,TRPC6,TRPC1,ORAI1
TCGA-CC-A3MA-01,-0.4398065693145679,Low,1969.2436,127.182,91.8537,535.3283
TCGA-CC-A3MB-01,2.3054117519668327,High,5288.9317,6.1598,26.179,542.8296
TCGA-CC-A3MC-01,1.9663528330896594,High,4333.4088,28.339,15.4017,389.9698
TCGA-CC-A5UC-01,-0.7347738371794784,Low,1471.6029,76.5671,102.6504,325.6205
TCGA-CC-A5UD-01,-0.83423469020754,Low,2488.7064,53.9014,101.1294,845.4825
TCGA-CC-A5UE-01,0.778077369886073,High,3664.1831,5.8542,55.3486,556.1469
TCGA-CC-A7IE-01,0.6446263274869951,High,2959.3301,37.4801,59.0112,338.9155
TCGA-CC-A7IF-01,-0.3000739176876623,Low,1663.1268,22.0476,18.373,483.5782
TCGA-CC-A7IG-01,-1.1399874596864104,Low,1476.2626,9.3574,35.2277,805.2842
TCGA-CC-A7IH-01,-0.6038811361715408,Low,2557.5088,29.6334,12.0542,1154.1939
TCGA-CC-A7II-01,-1.6570207310202034,Low,763.745,13.4937,81.5021,548.9249
TCGA-CC-A7IJ-01,-2.827908125001107,Low,2586.6935,9.6774,275.8065,1141.129
TCGA-CC-A7IK-01,0.10425962223380386,High,2434.2629,25.3984,8.9641,660.3586
TCGA-CC-A7IL-01,0.647122449534085,High,2504.2788,8.9297,0.9922,365.6207
TCGA-CC-A8HS-01,0.3214098970007132,High,2524.8857,33.9647,53.821,350.6205
TCGA-CC-A8HT-01,-1.077740717414907,Low,1911.3692,9.78,95.9658,660.7579
TCGA-CC-A8HU-01,-0.7709452691287059,Low,3018.8578,15.625,170.7974,626.0776
TCGA-CC-A8HV-01,-3.022794074639954,Low,2356.1644,8.0946,415.9402,415.9402
TCGA-CC-A9FS-01,0.8347992773561491,High,4067.9612,11.6505,33.657,840.7767
TCGA-CC-A9FU-01,-1.0274934942466774,Low,1674.33,6.1942,131.0304,324.4789
TCGA-CC-A9FV-01,-1.3854805472679765,Low,2418.3938,6.4767,172.2798,693.6528
TCGA-CC-A9FW-01,-2.1123940592530643,Low,1048.7567,5.1159,105.5733,829.7038
TCGA-DD-A113-01,-0.10569300408169444,Low,2398.5714,20.4762,62.381,485.7143
TCGA-DD-A114-01,-1.443247603938166,Low,1951.862,26.0538,55.0024,1153.6033
TCGA-DD-A115-01,0.5073699347185661,High,2547.0219,12.5392,9.4044,436.5204
TCGA-DD-A116-01,-1.9930350465677402,Low,2629.7348,10.4303,27.3795,1940.0324
TCGA-DD-A118-01,2.314482082761245,High,5039.4235,25.4345,15.2607,509.9618
TCGA-DD-A119-01,-0.7563864764128831,Low,1872.6092,7.0188,17.5469,845.7624
TCGA-DD-A11A-01,-1.2997093482917248,Low,2517.7199,18.2746,241.7471,347.7398
TCGA-DD-A11B-01,0.02569157565001605,Low,2181.4971,13.9268,55.7073,320.8739
TCGA-DD-A11C-01,1.275811424343693,High,3453.0603,53.9837,17.0475,434.7105
TCGA-DD-A11D-01,1.1467595407919247,High,2900.1122,22.4467,11.2233,217.7329
TCGA-DD-A1EA-01,1.179753089871499,High,3464.7327,2.8441,30.7167,331.6268
TCGA-DD-A1EB-01,2.1773115394561833,High,4227.9309,36.743,6.8504,267.7876
TCGA-DD-A1EC-01,-0.3378242013325358,Low,1517.4349,29.2585,21.2425,435.2705
TCGA-DD-A1ED-01,-0.32044051470489543,Low,1803.0842,53.3808,35.5872,533.8078
TCGA-DD-A1EE-01,1.0174983117165184,High,3003.4712,8.7276,6.3473,347.9123
TCGA-DD-A1EF-01,-2.3188469377801506,Low,2655.574,12.4792,396.8386,229.6173
TCGA-DD-A1EG-01,0.7569707383744724,High,2906.5641,10.4231,16.3792,414.4435
TCGA-DD-A1EH-01,0.34785558113283527,High,2802.4242,12.9293,64.2424,374.1414
TCGA-DD-A1EI-01,1.7159374807410919,High,5200.0813,44.7336,130.1342,398.1293
TCGA-DD-A1EJ-01,-1.517775163312222,Low,2068.7861,2.6018,266.0379,109.6024
TCGA-DD-A1EK-01,2.2373788079106585,High,5282.8452,8.3682,20.0837,618.41
TCGA-DD-A1EL-01,0.157164753065533,High,2533.4471,23.2082,81.9113,290.1024
TCGA-DD-A39V-01,-2.319450708320979,Low,1341.182,5.651,31.0808,1490.9348
TCGA-DD-A39W-01,0.46021577660891066,High,3026.0921,10.7351,88.266,282.6897
TCGA-DD-A39X-01,-0.45601551594346323,Low,2299.2874,13.0641,14.2518,893.7055
TCGA-DD-A39Y-01,-0.8772281906590181,Low,1935.3544,8.4708,20.5082,938.9211
TCGA-DD-A39Z-01,-0.10113967053624726,Low,1959.0383,6.2333,22.2618,452.3598
TCGA-DD-A3A1-01,-0.5623725774225417,Low,1616.3384,1.4588,4.3764,658.6433
TCGA-DD-A3A2-01,0.5236585049183047,High,2136.9544,11.6392,1.5519,266.9253
TCGA-DD-A3A3-01,-0.38562978584253105,Low,2184.5992,9.4937,9.4937,812.2363
TCGA-DD-A3A4-01,0.334497160915447,High,2271.0997,14.9518,0.7869,460.3581
TCGA-DD-A3A5-01,0.7166443796219144,High,2502.409,17.1143,8.9292,295.4078
TCGA-DD-A3A6-01,-1.2655799587553838,Low,1294.0141,16.7254,84.507,551.9366
