SOCE,partner,rho,p_value,n,FDR
TRPC6,CDH1,0.1304,0.011680120027793896,373,0.0219
TRPC1,IL6,0.1295,0.012331852598114767,373,0.0226
TRPC1,NFKB1,0.1236,0.016909037631868715,373,0.0292
TRPC6,STAT3,0.1203,0.020173843098157788,373,0.0341
TRPC6,MAP3K7,0.1192,0.02131583805790711,373,0.0354
TRPC6,CDH2,0.1157,0.025439461595299712,373,0.0415
TRPC6,FN1,0.1105,0.032811312076377816,373,0.0525
ORAI1,RELA,0.1098,0.03397017523527212,373,0.0534
STIM1,SNAI2,0.1021,0.048893869022493014,373,0.0742
TRPC6,TNF,0.0996,0.05465338632889789,373,0.0815
TRPC1,CDH1,0.0959,0.06426955611600256,373,0.0943
ORAI1,TWIST1,0.0952,0.0661996687361906,373,0.0955
ORAI1,MMP2,0.0945,0.0681840587597527,373,0.0968
STIM1,MAP3K7,0.0859,0.09763692902625948,373,0.1302
TRPC6,IL6R,0.0843,0.10404465734886255,373,0.1367
TRPC6,MMP9,0.0831,0.10911062118968351,373,0.1412
ORAI1,TNF,0.0712,0.16984278567813788,373,0.2166
ORAI1,ABCB1,0.0575,0.2679982956612458,373,0.3322
ORAI1,SNAI1,0.0479,0.35591785016349053,373,0.435
ORAI1,IL6,0.0407,0.43279350627246643,373,0.5147
TRPC1,STAT3,0.0365,0.4820233710943727,373,0.5656
ORAI1,SNAI2,0.0297,0.5671248641854978,373,0.6481
STIM1,CDH1,0.0263,0.6122099684687557,373,0.682
STIM1,NFKB1,0.0189,0.7162672505759399,373,0.7782
TRPC1,RELA,0.0126,0.8089296368475184,373,0.8681
TRPC1,CDH2,0.0115,0.8245820878624337,373,0.8687
ORAI1,NFKB1,0.0087,0.8672349311520676,373,0.8978
STIM1,ZEB2,0.003,0.9536880470202201,373,0.9759
TRPC6,RELA,0.0017,0.9746139583902567,373,0.9858
TRPC6,ABCB1,-0.0008,0.9871873120009647,373,0.9872
ORAI1,STAT3,-0.0112,0.8292566583994926,373,0.8687
STIM1,STAT3,-0.0254,0.6243770510239902,373,0.6868
TRPC6,ABCC2,-0.0265,0.6095829046384268,373,0.682
TRPC6,RELB,-0.0323,0.5337489085951335,373,0.618
TRPC1,FN1,-0.0437,0.39965037323963315,373,0.4818
STIM1,MMP2,-0.0595,0.2513677285764386,373,0.316
ORAI1,ZEB2,-0.0859,0.09753190586954881,373,0.1302
STIM1,TWIST2,-0.0866,0.09487547709621659,373,0.1302
STIM1,TNF,-0.0918,0.07652289601840544,373,0.1069
STIM1,RELB,-0.1051,0.042514835561982045,373,0.0656
TRPC1,SNAI2,-0.1243,0.016343098491618212,373,0.0288
ORAI1,ABCC2,-0.1248,0.015923111210882628,373,0.0286
STIM1,IL6,-0.132,0.010701004330220065,373,0.0205
STIM1,SNAI1,-0.1412,0.0063217796073465685,373,0.0136
ORAI1,FN1,-0.1546,0.002762843687114347,373,0.0064
TRPC1,IL6R,-0.165,0.0013866185679893138,373,0.0034
ORAI1,ZEB1,-0.1745,0.0007143169189933875,373,0.0018
STIM1,VIM,-0.1799,0.00047960526585802177,373,0.0013
TRPC1,ABCB1,-0.1895,0.0002326832254236318,373,0.0007
TRPC1,ABCC2,-0.2122,3.5883495047168645e-05,373,0.0001
STIM1,MMP9,-0.2257,1.0742953213408264e-05,373,0.0
STIM1,TWIST1,-0.2312,6.41255181098398e-06,373,0.0
ORAI1,CDH2,-0.2346,4.675930049919665e-06,373,0.0
ORAI1,MAP3K7,-0.2949,6.425466661331661e-09,373,0.0
ORAI1,IL6R,-0.3213,2.107746007145191e-10,373,0.0
ORAI1,CDH1,-0.352,2.5410272898718634e-12,373,0.0
