logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,log2FC,p_value,FDR,t_stat
-1.32334729929371,4.53200742486313,-23.4947303058302,3.88472540483444e-07,1.02838413059141e-05,7.34291055882868,A1CF,-1.32334729929371,3.88472540483444e-07,1.02838413059141e-05,-23.4947303058302
3.16114442604355,3.00198161061331,36.1508395432339,2.97278710543895e-08,2.29180243528285e-06,10.1179266697994,A2M,3.16114442604355,2.97278710543895e-08,2.29180243528285e-06,36.1508395432339
-1.38793250642404,1.77734402041361,-13.4944598887425,1.02358505269403e-05,9.34965461343427e-05,3.64925629489072,A4GALT,-1.38793250642404,1.02358505269403e-05,9.34965461343427e-05,-13.4944598887425
3.38015503158069,2.0671932321751,32.5226697649125,5.59283486726365e-08,3.31943687692662e-06,9.45240389066526,AADAC,3.38015503158069,5.59283486726365e-08,3.31943687692662e-06,32.5226697649125
-1.52827374838644,2.92071583466076,-9.44198577669131,8.01037071603492e-05,0.000423419270301,1.29232909143141,ABCC1,-1.52827374838644,8.01037071603492e-05,0.000423419270301,-9.44198577669131
1.17225343800054,1.31864955911102,11.0238876936209,3.30544201697911e-05,0.0002184246839689,2.30747201223475,ABCC2,1.17225343800054,3.30544201697911e-05,0.0002184246839689,11.0238876936209
-2.04942505784599,1.24187902996198,-16.3145045727502,3.36503349143018e-06,4.44951224024511e-05,4.91655225586404,ABCG1,-2.04942505784599,3.36503349143018e-06,4.44951224024511e-05,-16.3145045727502
1.91251297757744,1.5224988220304,7.8429696819387,0.000226668103135,0.0009503974208221,0.0996190602510296,ABCG2,1.91251297757744,0.000226668103135,0.0009503974208221,7.8429696819387
-1.28243508610567,1.69384021319019,-8.08988199198478,0.0001908602684921,0.000825557993298,0.296665578835562,ABHD11,-1.28243508610567,0.0001908602684921,0.000825557993298,-8.08988199198478
1.10044543775304,3.36982744454171,9.17944287190063,9.39698666517669e-05,0.0004761517883135,1.10919398127049,ABHD14A,1.10044543775304,9.39698666517669e-05,0.0004761517883135,9.17944287190063
1.4177046522684,5.36771882546995,23.3708124984517,4.00880483606834e-07,1.04841942171461e-05,7.30803359081692,ABL1,1.4177046522684,4.00880483606834e-07,1.04841942171461e-05,23.3708124984517
1.11837462481749,1.86045163914652,16.8687798799879,2.76392356331346e-06,3.88669083942894e-05,5.13981954709533,ABLIM3,1.11837462481749,2.76392356331346e-06,3.88669083942894e-05,16.8687798799879
1.92721218370512,1.25358533095665,18.9451376602946,1.39258826002215e-06,2.45498686244397e-05,5.91475781278137,ABTB2,1.92721218370512,1.39258826002215e-06,2.45498686244397e-05,18.9451376602946
-1.06799336671255,6.1644970768219,-14.6402019519543,6.35603043582989e-06,6.777332535268e-05,4.1930121063392,ACAA1,-1.06799336671255,6.35603043582989e-06,6.777332535268e-05,-14.6402019519543
1.06707284296768,2.46243088528792,3.27784984295045,0.0168587525499018,0.0320928625722941,-4.76543850816853,ACAD11,1.06707284296768,0.0168587525499018,0.0320928625722941,3.27784984295045
1.41271100252637,2.6471967330092,15.1483529707948,5.20349760440688e-06,5.89669240297128e-05,4.42093559262208,ACAD8,1.41271100252637,5.20349760440688e-06,5.89669240297128e-05,15.1483529707948
1.02130645067303,3.37082036194808,15.6337613069889,4.32370518265293e-06,5.27541966853841e-05,4.63170017073193,ACADSB,1.02130645067303,4.32370518265293e-06,5.27541966853841e-05,15.6337613069889
-1.52646869823884,0.763234349119419,-6.64541920659471,0.0005598021860298,0.0019168358308788,-0.934908179336918,ACKR3,-1.52646869823884,0.0005598021860298,0.0019168358308788,-6.64541920659471
1.00055887493176,1.30670700055686,8.0484491320391,0.000196385605376,0.000845238443271,0.26395624688872,ACOT11,1.00055887493176,0.000196385605376,0.000845238443271,8.0484491320391
1.26329284114437,2.48840991302973,10.502152187852,4.36672409028799e-05,0.0002686295306015,1.98823222407961,ACOT2,1.26329284114437,4.36672409028799e-05,0.0002686295306015,10.502152187852
-1.48050453830892,5.54162773714379,-22.3268337945959,5.25960560344363e-07,1.26995123182692e-05,7.00610779728471,ACOT7,-1.48050453830892,5.25960560344363e-07,1.26995123182692e-05,-22.3268337945959
2.81307647696079,2.53850720951783,35.4780325779289,3.32610206376633e-08,2.45640196732016e-06,10.0006673582901,ACOX2,2.81307647696079,3.32610206376633e-08,2.45640196732016e-06,35.4780325779289
-1.13033129165767,2.33662916411805,-12.3443720957352,1.71889017410519e-05,0.0001340260016977,3.0564942036893,ACOX3,-1.13033129165767,1.71889017410519e-05,0.0001340260016977,-12.3443720957352
