logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
-1.32334729929371,4.53200742486313,-23.4947303058302,3.88472540483444e-07,1.02838413059141e-05,7.34291055882868,A1CF
3.16114442604355,3.00198161061331,36.1508395432339,2.97278710543895e-08,2.29180243528285e-06,10.1179266697994,A2M
-1.38793250642404,1.77734402041361,-13.4944598887425,1.02358505269403e-05,9.34965461343427e-05,3.64925629489072,A4GALT
0.608041122053658,4.31035245906123,7.96883930601716,0.0002075282966283,0.0008844107539593,0.200708233066806,AAAS
-0.639726021015992,2.4257649405943,-3.36380991415412,0.0151494478035176,0.029274046866596,-4.648249610364,AACS
3.38015503158069,2.0671932321751,32.5226697649125,5.59283486726365e-08,3.31943687692662e-06,9.45240389066526,AADAC
0.942662217768111,1.65474197104962,7.79654688538105,0.0002342353078685,0.0009714711332724,0.0619938222982626,AADAT
0.882540259660996,4.66439046558822,6.06837565204851,0.000907527408767,0.0028287868726988,-1.48617531537927,AAGAB
-0.900698423371581,4.09351822321675,-15.3239203965295,4.86317926122533e-06,5.64648968976589e-05,4.4979306882667,AAK1
0.108615369790813,3.71334374094892,0.707906628034762,0.505549377058973,0.576566710802187,-8.07380320329845,AAMDC
0.397223917618566,5.40284481681403,3.16543742711833,0.0194208891257948,0.0362066432669363,-4.92000872005404,AAMP
-0.0544995774276265,0.0272497887138133,-0.82433442505327,0.441268966997703,0.516582368101967,-7.97911332844904,AANAT
-0.208636692309962,4.45403687729244,-1.93626231129334,0.100945754579268,0.149902081345976,-6.65658000834027,AAR2
-0.0103841129608466,7.44337583979624,-0.209974589657086,0.840633546672964,0.87036441290865,-8.32878304624829,AARS1
0.150360467622059,3.38137660020199,2.44723710889035,0.0499629107012021,0.0817906691806329,-5.93336984499963,AARS2
0.562354647487562,3.89748251104699,9.5987346377704,7.29574040400402e-05,0.0003941397912354,1.39952174357539,AARSD1
-0.100753198416369,1.34678989547046,-0.513362612806793,0.626039962471389,0.685296644993501,-8.20403094222485,AASDH
-0.250892445271178,3.37431695576434,-2.7403759462855,0.0337060712710475,0.0584304500374867,-5.51582811843898,AASDHPPT
0.547047930422382,2.22146315283053,4.9486597402257,0.002578685076817,0.006607086266207,-2.67171993108124,AASS
0.0755028432695599,0.03775142163478,0.959612902228922,0.37429390643892,0.45059481299371,-7.85496758857535,AATK
-0.362205295441702,3.90220095542891,-6.49185131677465,0.00063451915503,0.0021196299092985,-1.07798762804348,ABAT
-0.547513690560745,3.73397904505249,-10.3165104646828,4.83623753550144e-05,0.0002900849814787,1.87111743420454,ABCA1
-0.284912279722062,0.990919865075213,-2.02953631419332,0.0887031294756846,0.133832069289025,-6.52634337808853,ABCA11P
-0.241284438427805,3.89496964221634,-2.09161498852717,0.0813989237063243,0.124312443935472,-6.43902635601542,ABCA2
-0.0728677249887235,1.14917543582403,-0.34438905192053,0.742299180777225,0.788268362070455,-8.28592282016114,ABCA3
0.0501865588584605,0.0250932794292302,0.786657083919382,0.461403300450741,0.535809890043665,-8.01104398930874,ABCA4
0.158853613762185,0.605355644092902,1.10222254389698,0.312587813839096,0.389700403249623,-7.70943233351627,ABCA5
